"row","city","country","buildings","highrises","population","url","page_num","timestamp"
1,"Bamiyan","Afghanistan","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
2,"Kabul","Afghanistan","5","5","3,199,091","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
3,"Durres","Albania","no data","no data","99,546","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
4,"Elbasan","Albania","no data","no data","87,797","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
5,"Fier","Albania","no data","no data","56,297","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
6,"FierzÃ«, PukÃ«","Albania","no data","no data","2,750","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
7,"Katund i Ri","Albania","no data","no data","15,665","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
8,"KorÃ§Ã«","Albania","no data","no data","55,130","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
9,"KukÃ«s","Albania","no data","no data","47,985","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
10,"Shijak","Albania","no data","no data","14,118","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
11,"Shkoder","Albania","no data","no data","82,455","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
12,"Tirana","Albania","14","10","343,078","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
13,"Vlore","Albania","no data","no data","77,691","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
14,"Algiers","Algeria","33","32","3,335,418","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
15,"Constantine","Algeria","1","1","465,078","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
16,"F'kirina","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
17,"KÃ©nadsa","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
18,"Oran","Algeria","12","12","680,947","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
19,"Reggane","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
20,"Sidi Hamadouche","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
21,"Tipaza","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
22,"Andorra la Vella","Andorra","1","1","21,189","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
23,"El Serrat","Andorra","no data","no data","80","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
24,"Encamp","Andorra","no data","no data","12,924","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
